id,name,cluster,fitness,year
40,Austria,2,1.177870199448971,1999
56,Belgium,2,3.3100108966399246,1999
100,Bulgaria,1,0.06779898010901064,1999
191,Croatia,1,0.06716534030215117,1999
196,Cyprus,1,0.010954681453734762,1999
203,Czechia,2,0.6033744557356654,1999
208,Denmark,0,0.9961157386453882,1999
233,Estonia,1,0.04690264770390767,1999
246,Finland,0,0.7512060452869092,1999
251,France,2,5.317125744823608,1999
276,Germany,2,10.627606428859384,1999
300,Greece,1,0.17086824405931195,1999
348,Hungary,0,0.3577227760097992,1999
372,Ireland,0,1.1202625736388687,1999
381,Italy,2,5.789676644987651,1999
428,Latvia,1,0.023382248687966026,1999
440,Lithuania,1,0.04579583852739955,1999
442,Luxembourg,0,0.16220942929235446,1999
470,Malta,1,0.02078842108341,1999
528,Netherlands,0,3.1685406631615765,1999
616,Poland,1,0.5226901698591441,1999
620,Portugal,2,0.5720116361015899,1999
642,Romania,1,0.08529264965281301,1999
703,Slovakia,2,0.15627842212521575,1999
705,Slovenia,2,0.1595914814690947,1999
752,Sweden,0,1.338586247229398,1999
724,Spain,2,2.1705286515489823,1999
826,United Kingdom,0,5.127627111919949,1999
40,Austria,2,1.111835181108538,2000
56,Belgium,1,3.1562612472764324,2000
100,Bulgaria,0,0.06869310696760837,2000
191,Croatia,0,0.06375171214952766,2000
196,Cyprus,0,0.010620907341873372,2000
203,Czechia,1,0.5843947159859143,2000
208,Denmark,2,0.9282120449510636,2000
233,Estonia,2,0.04598068544465249,2000
246,Finland,2,0.7320863659297514,2000
251,France,1,5.1811452009115335,2000
276,Germany,1,9.543193852522842,2000
300,Greece,0,0.16182476224012912,2000
348,Hungary,2,0.3474139124616139,2000
372,Ireland,2,1.0787742118004324,2000
381,Italy,1,5.362899881471377,2000
428,Latvia,0,0.02397054632830449,2000
440,Lithuania,0,0.04842850905808236,2000
442,Luxembourg,2,0.15615771300235695,2000
470,Malta,0,0.019109085543828088,2000
528,Netherlands,2,3.034212998202505,2000
616,Poland,1,0.5383122133557269,2000
620,Portugal,1,0.5004584572225425,2000
642,Romania,0,0.12206311102915415,2000
703,Slovakia,1,0.16291392370564778,2000
705,Slovenia,1,0.15050742744708456,2000
752,Sweden,2,1.2945176662295241,2000
724,Spain,1,2.0177649378248943,2000
826,United Kingdom,2,4.700314604243836,2000
40,Austria,2,1.18001431829604,2001
56,Belgium,1,3.2400063303778914,2001
100,Bulgaria,0,0.0750843263758555,2001
191,Croatia,0,0.06956054882885823,2001
196,Cyprus,0,0.010897651870968418,2001
203,Czechia,1,0.650077814501003,2001
208,Denmark,2,0.977247678569268,2001
233,Estonia,2,0.0554264375332648,2001
246,Finland,2,0.7405510905282501,2001
251,France,1,5.146470963779723,2001
276,Germany,1,10.281403457021485,2001
300,Greece,0,0.17234108047352706,2001
348,Hungary,2,0.4006667882237141,2001
372,Ireland,2,1.1122576403733129,2001
381,Italy,1,5.709367860609688,2001
428,Latvia,0,0.027426297821459743,2001
440,Lithuania,0,0.0551384829588822,2001
442,Luxembourg,2,0.15311675060862434,2001
470,Malta,0,0.01623453424056277,2001
528,Netherlands,2,2.9953454338246126,2001
616,Poland,0,0.6295902731938156,2001
620,Portugal,1,0.5347386898743981,2001
642,Romania,0,0.14097349658089514,2001
703,Slovakia,1,0.1824260921981688,2001
705,Slovenia,1,0.1628778924755313,2001
752,Sweden,2,1.1853345027151223,2001
724,Spain,1,2.1014610925380617,2001
826,United Kingdom,2,4.6465110073654365,2001
40,Austria,0,1.2278657602507772,2002
56,Belgium,1,3.371208143549834,2002
100,Bulgaria,2,0.08355208580881295,2002
191,Croatia,2,0.0711757302206262,2002
196,Cyprus,1,0.010234873241757864,2002
203,Czechia,1,0.7432792201594809,2002
208,Denmark,0,1.0098194177718482,2002
233,Estonia,2,0.06935449678881897,2002
246,Finland,0,0.7125376052598267,2002
251,France,1,5.147303212360941,2002
276,Germany,1,10.526715103547883,2002
300,Greece,2,0.15892084088096153,2002
348,Hungary,0,0.3938122460966733,2002
372,Ireland,0,1.0990320366405288,2002
381,Italy,1,5.747917554838402,2002
428,Latvia,2,0.029368580319957437,2002
440,Lithuania,2,0.06566197720462326,2002
442,Luxembourg,0,0.14731288657819905,2002
470,Malta,2,0.0202676821983069,2002
528,Netherlands,0,2.980208511970107,2002
616,Poland,2,0.6394335257858614,2002
620,Portugal,1,0.6052350140739912,2002
642,Romania,2,0.16611045779661185,2002
703,Slovakia,1,0.18784300617137564,2002
705,Slovenia,1,0.18049361098615005,2002
752,Sweden,0,1.2349605267671029,2002
724,Spain,1,2.3035829777960632,2002
826,United Kingdom,0,4.739657134644143,2002
40,Austria,1,1.405287735845531,2003
56,Belgium,0,3.501231053042769,2003
100,Bulgaria,2,0.09351982076480758,2003
191,Croatia,2,0.07586408197576909,2003
196,Cyprus,0,0.01042675009729505,2003
203,Czechia,0,0.7562799299695767,2003
208,Denmark,1,1.02913645918276,2003
233,Estonia,2,0.07432594108254044,2003
246,Finland,1,0.7209921600321602,2003
251,France,0,5.25514695349104,2003
276,Germany,0,10.403293063388494,2003
300,Greece,2,0.1961419817532706,2003
348,Hungary,1,0.435340757717164,2003
372,Ireland,1,1.1553587177361828,2003
381,Italy,0,5.884021571329937,2003
428,Latvia,2,0.03037432201075373,2003
440,Lithuania,2,0.07518877245892065,2003
442,Luxembourg,1,0.15562387763727414,2003
470,Malta,2,0.021433448830815167,2003
528,Netherlands,1,3.2969903379824848,2003
616,Poland,2,0.7484717167589837,2003
620,Portugal,0,0.6035492477601728,2003
