nace_r2,sizeclas,indic_lc,currency,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 
B-F,TOTAL,LC_H,PPS,LT	7.94 	8.11 	8.17 	8.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_H,PPS,LV	6.95 	7.38 	7.27 	7.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_H,PPS,NL	29.80 	29.58 	28.24 	28.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_H,PPS,PT	11.41 	11.15 	10.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_H,PPS,RO	6.53 	6.38 	6.20 	5.95 	5.21 	4.64 	4.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_H,PPS,SI	15.23 p	15.20 p	14.57 p	14.77 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_H,PPS,SK	11.66 	11.09 	10.89 	317.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_H,PPS,UK	19.59 	19.89 	19.93 	20.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,BG	417 	395 	371 	336 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,CY	1742 	2395 	2339 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,CZ	1372 	1295 	1201 	1234 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,EE	1144 	1082 	1041 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,ES	2937 	2864 	2805 	2678 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,HU	1066 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,IE	4134 	4224 	4290 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,LT	804 	789 	812 	844 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,LV	776 	773 	792 	793 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,NL	4764 	4606 	4540 	4438 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,PT	1443 	1411 	1392 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,RO	610 	575 	542 	574 	512 	411 	352 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,SI	1910 p	1852 p	1720 p	1716 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,SK	1194 	1116 	1079 	1080 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,EUR,UK	3398 	3395 	3227 	3572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,BG	815 	772 	726 	657 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,CY	1742 	2395 	2339 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,CZ	33743 	32736 	31749 	30771 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,EE	1144 	1082 	1041 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,ES	2937 	2864 	2805 	2678 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,HU	297838 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,IE	4134 	4224 	4290 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,LT	2775 	2725 	2804 	2915 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,LV	548 	548 	559 	557 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,NL	4764 	4606 	4540 	4438 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,PT	1443 	1411 	1392 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,RO	2584 	2421 	2298 	2115 	1708 	1450 	1275 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,SI	1910 p	1852 p	1720 p	1716 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,SK	1194 	1116 	1079 	32529 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,NAC,UK	2949 	2912 	2875 	2844 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,BG	844 	781 	747 	683 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,CY	1960 	2683 	2598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,CZ	1793 	1798 	1715 	1709 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,EE	1468 	1441 	1359 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,ES	3023 	2962 	2869 	2813 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,HU	1657 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,IE	3554 	3574 	3404 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,LT	1222 	1243 	1226 	1281 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,LV	1052 	1115 	1078 	1061 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,NL	4403 	4340 	4165 	4233 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,PT	1657 	1611 	1570 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,RO	1011 	981 	938 	914 	803 	714 	646 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,SI	2225 p	2205 p	2038 p	2084 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,SK	1650 	1568 	1490 	45042 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-F,TOTAL,LC_M,PPS,UK	3332 	3386 	3390 	3499 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,AT	: c	28.21 	28.03 	26.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,BE	38.65 	37.70 	36.71 	35.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,BG	3.29 	3.10 	2.88 	2.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,CH	: 	41.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,CZ	10.11 	9.62 	9.19 	9.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,DE	30.10 	29.10 	29.00 	28.40 	27.80 	27.60 	27.10 	26.90 	26.90 	26.20 	25.60 	24.90 	23.90 	23.34 	23.10 	23.35 
B-N,GE10,LC_H,EUR,DK	39.61 	38.44 	37.30 	35.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,EL	: 	: 	17.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,ES	20.80 	20.25 	20.02 	18.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,FI	29.86 	29.17 	28.75 	27.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,FR	34.26 	33.15 	32.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,HR	8.53 p	8.53 p	8.60 p	8.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,HU	7.57 	7.22 	7.27 	7.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,IE	24.57 	24.36 	24.72 	27.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,IT	: 	: 	: 	24.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,LT	5.61 	5.45 	5.69 	5.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,LU	33.68 	32.47 	31.53 	30.76 	29.82 	28.89 	28.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,LV	5.76 	5.74 	6.02 	5.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,MT	: 	: 	8.27 	8.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,NL	31.29 	30.79 	29.84 	29.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,PL	7.66 	7.46 	6.72 	7.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,PT	12.25 	12.17 	11.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,RO	4.33 	4.20 	4.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,SE	39.28 	36.22 	31.72 	33.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,SI	14.32 p	14.00 p	13.67 p	13.42 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,SK	8.89 	8.25 	8.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,EUR,UK	18.95 	19.20 	19.11 	21.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,AT	: c	28.21 	28.03 	26.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,BE	38.65 	37.70 	36.71 	35.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,BG	6.43 	6.06 	5.64 	4.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,CH	: 	56.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,CZ	248.53 	243.19 	242.83 	232.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,DE	30.10 	29.10 	29.00 	28.40 	27.80 	27.60 	27.10 	26.90 	26.90 	26.20 	25.60 	24.90 	23.90 	23.50 	23.20 	22.80 
B-N,GE10,LC_H,NAC,DK	295.11 	286.27 	277.78 	265.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,EL	: 	: 	17.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,ES	20.80 	20.25 	20.02 	18.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,FI	29.86 	29.17 	28.75 	27.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,FR	34.26 	33.15 	32.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,HR	62.21 p	62.21 p	63.14 p	64.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,HU	2115.97 	1988.05 	2038.55 	1998.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,IE	24.57 	24.36 	24.72 	27.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,IT	: 	: 	: 	24.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,LT	19.37 	18.81 	19.64 	20.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,LU	33.68 	32.47 	31.53 	30.76 	29.82 	28.89 	28.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,LV	4.07 	4.07 	4.25 	4.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,MT	: 	: 	8.27 	8.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,NL	31.29 	30.79 	29.84 	29.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,PL	31.56 	29.80 	29.09 	26.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,PT	12.25 	12.17 	11.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,RO	18.34 	17.70 	16.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,SE	354.69 	345.46 	336.88 	325.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,SI	14.32 p	14.00 p	13.67 p	13.42 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,SK	8.89 	8.25 	8.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,NAC,UK	16.45 	16.47 	17.03 	16.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,AT	: c	26.35 	26.05 	25.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,BE	34.82 	33.79 	32.38 	32.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,BG	6.66 	6.13 	5.80 	5.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,CH	: 	27.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,CZ	13.21 	13.36 	13.12 	12.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,DE	29.18 	27.92 	27.40 	27.43 	27.34 	26.89 	26.21 	25.68 	25.34 	24.57 	23.93 	23.37 	22.28 	21.46 	21.08 	20.45 
B-N,GE10,LC_H,PPS,DK	27.61 	26.97 	25.74 	25.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,EL	: 	: 	18.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,ES	21.41 	20.94 	20.47 	19.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,FI	23.94 	23.74 	22.92 	22.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,FR	31.09 	29.64 	28.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,HR	11.41 p	11.51 p	11.60 p	12.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,HU	11.77 	11.02 	11.32 	11.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,IE	21.12 	20.61 	19.61 	21.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,IT	: 	: 	: 	23.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,LT	8.53 	8.58 	8.59 	9.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,LU	27.39 	27.08 	26.04 	26.18 	25.99 	25.94 	25.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,LV	7.81 	8.28 	8.19 	7.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,MT	: 	: 	10.37 	10.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,NL	28.92 	29.02 	27.37 	27.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,PL	12.91 	11.92 	11.61 	11.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,PT	14.07 	13.90 	13.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,RO	7.18 	7.17 	6.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,SE	31.07 	30.24 	29.46 	29.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,SI	16.68 p	16.67 p	16.20 p	16.30 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,SK	12.28 	11.59 	11.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_H,PPS,UK	18.59 	19.15 	20.08 	20.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,AT	: c	4033 	3979 	3880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,BE	4966 	4844 	4716 	4578 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,BG	472 	443 	417 	376 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,CZ	1482 	1408 	1322 	1348 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,DE	4146 	4006 	3986 	3904 	3832 	3808 	3796 	3754 	3679 	3546 	3405 	3385 	3237 	3109 	3082 	3082 
B-N,GE10,LC_M,EUR,DK	5368 	5206 	5000 	4808 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,EL	: 	: 	2749 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,ES	3053 	2974 	2921 	2798 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,FI	4164 	4068 	4010 	3848 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,FR	4550 	4405 	4280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,HR	1288 p	1288 p	1298 p	1357 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,HU	1148 	1090 	1080 	1182 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,IE	3912 	3928 	3947 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,LT	869 	843 	866 	876 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,LU	4918 	4785 	4672 	4577 	4399 	4214 	4084 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,LV	867 	864 	897 	897 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,MT	: 	: 	1404 	1425 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,NL	4641 	4533 	4415 	4289 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,PL	1124 	1094 	978 	1126 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,PT	1777 	1754 	1724 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,RO	671 	649 	610 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,SE	5411 	5117 	4482 	4775 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,SI	2074 p	2021 p	1918 p	1907 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,SK	1276 	1186 	1144 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,EUR,UK	2902 	2940 	2933 	3221 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,AT	: c	4033 	3979 	3880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,BE	4966 	4844 	4716 	4578 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,BG	924 	867 	815 	736 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,CZ	36441 	35601 	34939 	33636 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,DE	4146 	4006 	3986 	3904 	3832 	3808 	3796 	3754 	3679 	3546 	3405 	3385 	3237 	3130 	3095 	3009 
B-N,GE10,LC_M,NAC,DK	39993 	38772 	37228 	35851 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,EL	: 	: 	2749 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,ES	3053 	2974 	2921 	2798 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,FI	4164 	4068 	4010 	3848 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,FR	4550 	4405 	4280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,HR	9389 p	9389 p	9529 p	9799 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,HU	320648 	300201 	302677 	297219 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,IE	3912 	3928 	3947 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,LT	3000 	2912 	2990 	3025 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,LU	4918 	4785 	4672 	4577 	4399 	4214 	4084 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,LV	612 	612 	633 	630 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,MT	: 	: 	1404 	1425 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,NL	4641 	4533 	4415 	4289 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,PL	4633 	4371 	4234 	3954 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,PT	1777 	1754 	1724 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,RO	2845 	2732 	2587 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,SE	48862 	48802 	47590 	45914 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,SI	2074 p	2021 p	1918 p	1907 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,SK	1276 	1186 	1144 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,NAC,UK	2519 	2522 	2613 	2565 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,PPS,AT	: c	3767 	3698 	3679 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B-N,GE10,LC_M,PPS,BE	4474 	4341 	4160 	4146 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
