nace_r2,sizeclas,indic_lc,currency,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 
B,GE10,LC_H,NAC,LT	21.90 	21.95 	23.98 	26.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,LU	: 	: 	: 	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,LV	4.39 	4.39 	4.36 	4.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,MT	: 	: 	7.59 	6.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,NL	67.96 	58.71 	56.38 	57.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,PL	60.44 	53.26 	52.91 	47.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,PT	13.23 	13.01 	11.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,RO	36.60 	35.13 	42.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,SE	391.99 	372.25 	352.78 	341.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,SI	20.66 p	20.10 p	18.09 p	20.03 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,SK	9.60 	9.17 	8.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,NAC,UK	25.52 	25.00 	24.88 	22.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,AT	32.01 	30.61 	30.15 	29.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,BE	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,BG	12.13 	11.02 	9.87 	8.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,GE10,LC_H,PPS,CH	: 	25.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
