id,name,cluster,fitness,gdp
40,Austria,1,1.2719626291647188,34200.0
56,Belgium,0,3.444854087583636,32400.0
100,Bulgaria,0,0.13675238490937236,4200.0
191,Croatia,0,0.08221505228538813,10200.0
196,Cyprus,0,0.008677960129948589,22900.0
203,Czechia,1,0.9229349388746222,13400.0
208,Denmark,0,0.8643426587582569,42700.0
233,Estonia,0,0.08190704615457323,12100.0
246,Finland,0,0.6862771351823339,35300.0
251,France,1,4.421468172285301,30300.0
276,Germany,1,9.989855018046304,31000.0
300,Greece,0,0.19652753125577385,21100.0
348,Hungary,1,0.4521678847188589,10200.0
372,Ireland,0,0.9213518062338184,44800.0
381,Italy,1,5.462762490795919,27400.0
428,Latvia,0,0.049667573082997,10300.0
440,Lithuania,0,0.12185815637941208,9000.0
442,Luxembourg,1,0.12460840143682266,77300.0
470,Malta,0,0.01415018691629809,14200.0
528,Netherlands,0,3.2536991687551864,37800.0
616,Poland,1,1.0339024997742945,8200.0
620,Portugal,1,0.5957898021515877,16600.0
642,Romania,0,0.2816425319541269,6100.0
703,Slovakia,1,0.30369310656535226,10400.0
705,Slovenia,1,0.199177610260755,17400.0
752,Sweden,1,1.1073068973431222,39000.0
724,Spain,1,2.1464537701495923,23900.0
826,United Kingdom,1,3.7132389483140997,36700.0
