id,name,cluster,fitness,gdp
40,Austria,1,1.2494849964235717,32400.0
56,Belgium,1,3.3967329851560177,31000.0
100,Bulgaria,0,0.11958936327634773,3500.0
191,Croatia,0,0.07658889930103148,9300.0
196,Cyprus,0,0.007051068492335456,21700.0
203,Czechia,1,0.8519297346933246,12100.0
208,Denmark,0,0.944537495515582,41500.0
233,Estonia,0,0.07212542632911342,10000.0
246,Finland,0,0.6768047398498964,32800.0
251,France,1,4.517084601682869,29100.0
276,Germany,1,10.417776036081213,29500.0
300,Greece,0,0.2446341182482643,19800.0
348,Hungary,1,0.4258359129225698,9100.0
372,Ireland,1,0.9056669864130752,43300.0
381,Italy,1,5.477402214308406,26500.0
428,Latvia,0,0.04351010645029872,7800.0
440,Lithuania,0,0.10479864716733786,7400.0
442,Luxembourg,1,0.13450786730354766,71500.0
470,Malta,0,0.015423455414497328,13300.0
528,Netherlands,0,3.1312006533272334,35800.0
616,Poland,1,0.964040992136222,7200.0
620,Portugal,1,0.5816355926535376,15800.0
642,Romania,0,0.2471029991178651,4600.0
703,Slovakia,1,0.2659319577145913,8400.0
705,Slovenia,1,0.1967242693442166,15700.0
752,Sweden,1,1.1244914936409072,36900.0
724,Spain,1,2.1497474911727767,22700.0
826,United Kingdom,1,3.8451816041179296,35400.0
