id,name,cluster,fitness,gdp
40,Austria,1,1.1202813325031251,39000.0
56,Belgium,2,2.7033162670323168,35800.0
100,Bulgaria,0,0.15444791486330298,5900.0
191,Croatia,0,0.08202278396514652,10300.0
196,Cyprus,2,0.008571229241567764,20700.0
203,Czechia,1,1.0366329381956645,14900.0
208,Denmark,2,0.6780485361065366,47100.0
233,Estonia,0,0.09138050616954772,15200.0
246,Finland,0,0.4357702256473484,37600.0
251,France,1,3.3038448537479312,32400.0
276,Germany,1,8.567158124095496,36300.0
300,Greece,0,0.1505427660612101,16400.0
348,Hungary,1,0.5031266556991028,10700.0
372,Ireland,2,0.6401127793324458,42000.0
381,Italy,1,4.582076829014016,26700.0
428,Latvia,0,0.0643128501033268,11800.0
440,Lithuania,0,0.1652065341200643,12500.0
442,Luxembourg,1,0.0975988313945383,89200.0
470,Malta,0,0.011185982456804496,19600.0
528,Netherlands,0,3.3318846015383428,39800.0
616,Poland,1,1.3545675550931338,10700.0
620,Portugal,0,0.665597538080404,16600.0
642,Romania,1,0.3485863834167484,7600.0
703,Slovakia,1,0.3495987454499397,14000.0
705,Slovenia,1,0.16095673984665668,18200.0
752,Sweden,1,0.8184988061162678,44700.0
724,Spain,1,1.9815792588927117,22300.0
826,United Kingdom,1,2.722014134247138,35400.0
