nace_r1,currency,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
C,NAC,FR	3523.7 	3358.6 	3224.5 	3305.6 	3338.6 	3326.1 	3257.9 	3282.9 	3295.4 	3299.3 	3434.7 	3500.1 	3551.9 	: 
C,NAC,HU	: 	294692.0 	253518.0 	263970.0 	234237.0 	225021.0 	207001.0 	194726.0 	183923.0 	158356.0 	140401.0 	122020.0 	97366.0 	: 
C,NAC,IE	: 	: 	4271.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C,NAC,IT	: 	: 	: 	: 	: 	: 	3261.0 	3135.0 	: 	: 	: 	: 	: 	: 
C,NAC,LT	: 	3266.0 	2730.0 	2372.0 	2131.0 	2225.0 	2078.0 	2052.0 	1801.0 	1527.0 	1510.0 	1257.0 	958.0 	: 
C,NAC,LU	3963.0 	3855.0 	3697.0 	3556.0 	3537.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C,NAC,LV	645.2 	541.5 	414.0 	321.7 	278.3 	247.7 	226.5 	200.7 	193.0 	193.6 	171.6 	161.4 	: 	: 
C,NAC,MT	: 	864.5 	878.5 	844.8 	824.9 	1302.2 	1171.4 	: 	: 	: 	: 	: 	: 	: 
C,NAC,NL	: 	: 	: 	7165.0 	6944.0 	6400.0 	6210.0 	5699.0 	5338.0 	5080.0 	5042.2 	4806.4 	4653.9 	: 
C,NAC,PL	: 	6466.1 	6030.9 	5741.3 	5372.7 	4813.9 	4721.8 	4485.4 	4106.1 	3775.9 	3387.9 	2940.8 	2528.6 	: 
C,NAC,PT	1315.5 	1266.2 	1187.8 	1187.7 	1183.2 	1167.5 	1152.0 	1136.7 	1124.1 	1093.4 	1061.8 	1031.0 	1001.2 	: 
C,NAC,RO	: 	3381.0 	3098.0 	2564.0 	1969.7 	1631.9 	1365.7 	1092.0 	727.6 	479.2 	319.2 	201.5 	99.0 	: 
C,NAC,SE	: 	45482.0 	42499.0 	41772.0 	40390.0 	39006.0 	37202.0 	35937.0 	34344.0 	36037.0 	35077.0 	33604.0 	32078.0 	29786.0 
C,NAC,SI	: 	2286.0 	2174.5 	2114.5 	1998.3 	1760.7 	1630.4 	1488.7 	1322.9 	1211.4 	1098.2 	1016.2 	896.0 	790.6 
C,NAC,SK	: 	1054.0 	1014.0 	888.1 	825.6 	758.6 	727.2 	703.2 	755.8 	635.9 	503.1 	434.2 	457.2 	: 
C,NAC,UK	: 	4592.0 	4485.0 	3944.0 	3635.6 	3785.9 	3722.7 	3598.0 	3310.0 	2807.0 	2709.0 	2422.0 	2474.0 	: 
C,PPS,AT	4441.9 	4554.4 	4450.0 	4506.2 	4290.1 	4372.1 	3924.2 	3761.2 	3797.6 	4069.5 	4447.4 	4789.6 	4899.1 	: 
C,PPS,BE	: 	: 	: 	: 	: 	3562.0 	3709.7 	3478.7 	3346.9 	3149.3 	: 	: 	: 	: 
C,PPS,BG	: 	1158.8 	1006.0 	991.0 	983.7 	901.0 	863.1 	809.3 	801.3 	: 	: 	: 	: 	: 
