id,name,cluster,fitness,gdp
40,Austria,1,1.093155950197391,40800.0
56,Belgium,0,2.6582339950251046,37600.0
100,Bulgaria,0,0.16975856461637573,6800.0
191,Croatia,0,0.0999560517164816,11200.0
196,Cyprus,0,0.007479250292629027,21700.0
203,Czechia,1,1.078857639800055,16700.0
208,Denmark,0,0.7381571652548728,49200.0
233,Estonia,0,0.08163787594031406,16500.0
246,Finland,0,0.37897856828728776,39300.0
251,France,1,3.2216778440817047,33400.0
276,Germany,1,8.450775638751697,38400.0
300,Greece,0,0.15773630653834048,16400.0
348,Hungary,1,0.5113989050881007,11600.0
372,Ireland,0,0.6823997025513806,57500.0
381,Italy,1,4.695693099400618,27900.0
428,Latvia,0,0.06218609936209257,12800.0
440,Lithuania,0,0.15486463226151306,13500.0
442,Luxembourg,1,0.09916030857945074,91300.0
470,Malta,0,0.011429499238386182,22700.0
528,Netherlands,0,3.2056791117866745,41600.0
616,Poland,1,1.3784065569923112,11100.0
620,Portugal,1,0.6802247488218549,18100.0
642,Romania,1,0.3931423414610097,8600.0
703,Slovakia,1,0.34974902620380804,15000.0
705,Slovenia,1,0.16866156458456674,19500.0
752,Sweden,1,0.7785804873806974,46700.0
724,Spain,1,2.054565019521396,24100.0
826,United Kingdom,1,2.5973918925537296,36600.0
