product,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,0.5488512456851979,0.5154065906413771,0.5440132252244689,0.5449846995420897,0.5614158970038449,0.5130280582693229,0.47067306159301064,0.47721509011992136,0.532801493675222,0.5488562374038606,0.363815866449038,0.4135891526061202,0.37944619560373216,0.33536765352619013,0.3382387081340594,0.3117894679977489,0.32864338826329254,0.3112731625418268,0.31441504072288606
2,0.16600958033672092,0.15146444039636273,0.13885518320220597,0.11354864026010096,0.1457589206161448,0.12452763123565024,0.10822229810293357,0.1023442596685626,0.11046489855970143,0.09319663144322629,0.06713196528479462,0.06735512633257756,0.07747709178009542,0.08177383508504332,0.08613824827161481,0.07628045453585584,0.07336093818374406,0.07002757776288981,0.061901199256041775
3,0.02585360912923324,0.022492712383601517,0.021399557799302693,0.02381279780904228,0.02004027253020971,0.02448072174859151,0.02132226669346149,0.016049667605325054,0.018500100506988044,0.014238581173435497,0.01653812747734683,0.01684495818613856,0.015170944805534207,0.015299493899478003,0.014519143528483176,0.014083462758085996,0.014731200201786457,0.013963570249026969,0.013570038976008222
4,0.20177436739392393,0.19504535663802425,0.17283519174502704,0.16985695648417892,0.1624177049557027,0.14824003143789344,0.1366143882123447,0.13465033206727783,0.12266886354629489,0.10055870529132015,0.08681133089501493,0.09735942471793538,0.09142144206072039,0.0906830401986837,0.08470816409860281,0.07586336118282729,0.07940653681835148,0.07653713540667088,0.06850061835690284
5,0.6467967589736859,1.3438898168387476,1.4225126931831513,1.4010401313240368,1.2792726653328221,1.501224048257748,1.5082539762462004,1.335817183020516,1.595121850370698,1.246129635049704,1.1853779315254838,1.386542349774718,1.2604522080528857,1.0699586813933277,1.1066041727314888,1.069758050019457,0.9930596011032277,0.9697058871070992,0.8904308445977872
6,0.37855923716654255,0.3455626261844968,0.31260549517078234,0.2630153931543935,0.2841362602924711,0.345193564195855,0.3163871097165582,0.3223057089365537,0.36568114921697314,0.3427179927805086,0.3303906374563829,0.34263069000866875,0.35995828427645654,0.33209225602154835,0.34550242764552386,0.3260119119049435,0.3147211488625032,0.2944799927967604,0.2773190199383427
7,0.1526632441370337,0.17364352036787487,0.14178125261466665,0.1556500405316628,0.13447434218172158,0.14304983334081467,0.12620307580273132,0.11732183610617264,0.11613504633120308,0.10672499859703202,0.09442464775254651,0.10812532990360472,0.10609605524479968,0.10736039572594387,0.09958927193979555,0.09274954177285108,0.07913944056024634,0.07485864432390245,0.07342052473128045
8,0.028193042698201314,0.03184210417025869,0.035875648920511705,0.038038960078484986,0.039451420516627,0.03791909330668811,0.03693641401653722,0.037530916307173784,0.03866772667065353,0.03668826836253334,0.034456051303458766,0.03968398523986391,0.03992578930149779,0.04004702347466658,0.03832868074730191,0.0368026483342518,0.03294528280153806,0.029982584956830226,0.028470585570038086
9,0.016189117658030452,0.018800118002650166,0.02605126695122622,0.027095041324394976,0.030896410616155983,0.04218875646477189,0.036349527684988725,0.05691596809643682,0.05669121486103282,0.044815412590633694,0.03703967630980445,0.034396342173880885,0.03777850328866577,0.042579567925891654,0.05420187639796136,0.04981341302581614,0.04825160964944809,0.04393883160952321,0.035509863540271254
10,0.13027846700239262,0.14493222391938715,0.12186877856457541,0.11381452545830982,0.1156514606771526,0.12093800265986104,0.12175366471242341,0.10642325642945455,0.0860947504917022,0.06681886575653849,0.060348400640266156,0.05756658199807053,0.060156388149651775,0.046884318654472096,0.05006474218217009,0.05081983386064387,0.06299252693643079,0.05894874962150757,0.060769891619041
11,0.3671959735080028,0.4393217219125378,0.38055257256488123,0.3456495876264117,0.3228935463350274,0.34061284036293143,0.3053416382959812,0.34089863071092713,0.2726162952287021,0.20679859859965558,0.19306250366092675,0.1993592109157066,0.1664424901583148,0.16296839542391445,0.14439106281904368,0.14416569257959808,0.14855012582839064,0.15059480572662418,0.12113558583771185
12,0.09507487966954606,0.08489490355870082,0.13436219052031523,0.12485075380387389,0.10687367983617505,0.11477932326094076,0.09025425353644762,0.10341883925530188,0.11663698534427729,0.08295464390768229,0.08537258020589206,0.08787837639798493,0.07823072919232803,0.076838896153756,0.06685247254157327,0.0724322688865377,0.07578837416596196,0.07095253982954317,0.05049352365381855
13,2.2880656974899654,2.7345315470862444,3.0414109233514,2.593530770651048,2.9071202575099724,2.9361306644731355,3.4005216278615653,3.4228268531097674,3.303490164557045,2.943609856722738,2.50907957004989,2.657097437834423,2.3823270706313595,1.820342955944177,2.3187461010598907,2.239292396941209,2.1312118457449323,2.1123135410323086,2.2362896970470505
14,6.057420581394102,7.033703366935467,4.508959734031839,4.575060506537465,2.6014363287279636,3.928208288577257,4.0799506278819795,4.50875777322667,3.3659603894819172,8.566005454120548,7.629465858475598,5.777786685154308,5.912967125235566,6.379455497319577,5.774615107788991,5.694130985413983,7.013717216408609,6.421048976065547,6.895153223622909
