countries,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
100,0.06779898010901064,0.06869310696760837,0.0750843263758555,0.08355208580881295,0.09351982076480758,0.09937819986963368,0.1097713800495859,0.11958936327634771,0.13675238490937236,0.1465913527867615,0.14416265518802007,0.14697380226898257,0.16022502731262758,0.14728490962681592,0.15157344392770694,0.15444791486330298,0.15299259126129522,0.16975856461637573,0.17127952356313442
108,7.50114957828674e-05,6.550455343048632e-05,0.00010190911951958916,5.8054742648237736e-05,8.75287890517297e-05,0.00013808789067783586,0.00016230463630595047,0.0009662531803109596,0.0004956877099920842,0.0002487856885778942,0.0003396098599078484,0.00020393615844663975,0.0003753382612992298,0.0005358197417960971,0.0003521183974332127,0.00044126203405208536,0.0004013966355248277,0.0003998909684019309,0.00027786556881106376
112,0.10192130762729192,0.111001521523976,0.11834948487106371,0.11657160209813876,0.12280999034802674,0.1311183086273354,0.12331654391976804,0.1237432031331574,0.13032041491283258,0.15015738922419747,0.14031525132156114,0.14310553102012946,0.1773583315729117,0.2103358400804455,0.16155359066448122,0.1488034597562593,0.12413854058353445,0.13695237341681032,0.15063777225202105
12,0.01549477866774987,0.016141652161325234,0.01781813726735276,0.019284053789965876,0.01679643466415912,0.017359728672442475,0.0180749233847213,0.020404868236501214,0.019344657670569098,0.01938157566558586,0.019289534059933274,0.017093674751490238,0.01757390568933697,0.016747287688474086,0.013708872242205622,0.01556861820143157,0.013432127318123604,0.015584914077944061,0.014566917088414181
124,3.2574821612401146,3.307296600139008,3.181248226980042,3.045534356877075,2.7857640838862823,2.8291435878301954,2.819785870366772,2.699905941868341,2.5344433042505075,2.3196229116674063,2.163440994006932,2.028207508037881,1.9020723638721104,1.933790398264885,1.8223722017414494,1.7816966777564767,1.8201612742230364,1.8416187503097727,1.7290818701706367
140,0.00038478978236758225,0.00019289417760755576,0.00016840656926346345,0.00015153780015866189,8.626282157789943e-05,0.00014496613174425356,0.00015944873051280004,0.00012674346185556084,0.00011395894175953235,0.0001124221309330096,0.0001650306521638094,0.00010666255368105615,8.819982509242911e-05,0.00013797783188675375,4.7862638034819914e-05,1.737099368419856e-05,0.00014194060764038656,0.00019417678386854254,0.0006862100361652507
144,0.04635603439369158,0.05928011192136595,0.05815129350222404,0.05428478590326939,0.050873650357914565,0.05073659473094928,0.052581694746524604,0.05729595534623086,0.05477988169728911,0.060819616207910945,0.07055844145426564,0.07324865152270849,0.07947773759027268,0.07653771434019095,0.0784392785602968,0.08518611675315611,0.0865618325147812,0.09602695047131844,0.09235733175251275
152,0.2585759697843469,0.2633493260197846,0.26221908636768554,0.25890238589924724,0.29456773697411465,0.3227211231135399,0.35414583495495533,0.3618075594145187,0.35439994445760825,0.3474156552361564,0.3666985695269224,0.34389303175089836,0.3452120847159072,0.34843201843236066,0.3640530795913099,0.36718241294743237,0.35624203503181084,0.38435725534424386,0.3024119247413562
156,6.423880859311145,7.35172402243248,8.102263229451902,9.05611903525363,10.04547849075611,10.920418107799467,12.819857695404067,14.149440399656545,15.016082958226598,16.175008702593633,17.377878348778825,19.030129823222026,20.55150230857846,21.847009964166876,22.492190123992184,24.08333632472049,25.702433288743734,23.047214049024873,23.215803944030792
170,0.1207456043724998,0.12446529347468076,0.13390095853306844,0.11948060559706952,0.09966851937929747,0.11196915363339159,0.12221665867633633,0.13871701013470125,0.15767900472671828,0.17405218875528122,0.16704650520185704,0.12377100182255943,0.12254003950802192,0.1312351073330212,0.12470460520916739,0.11635240483583952,0.11254472236504394,0.10560326525512412,0.10170865114939145
188,0.050478413387531174,0.04271056626175428,0.04663638804835679,0.04520710345743099,0.046646175256991794,0.04389138960877594,0.04846723056551928,0.041476915412960245,0.04179443392741699,0.04481125717489191,0.036852634785905114,0.04159360727333368,0.04072351054542449,0.04824137810971253,0.04361320712994132,0.04237009615967652,0.044053542789374664,0.045668517903997174,0.04803087567152732
191,0.06716534030215116,0.06375171214952766,0.06956054882885823,0.0711757302206262,0.07586408197576909,0.07961984712685552,0.07592325845782581,0.07658889930103148,0.08221505228538813,0.08681754744893676,0.08316969970384873,0.07676661570940778,0.0768905415300264,0.07723811713077888,0.07912746770962745,0.08202278396514653,0.08135857060621866,0.09995605171648161,0.09308862129820877
196,0.010954681453734762,0.010620907341873372,0.010897651870968418,0.010234873241757864,0.01042675009729505,0.01003427665001801,0.009392322312857323,0.007051068492335456,0.008677960129948589,0.008822305662859735,0.008688235259665902,0.009382405029308299,0.0093226541110593,0.009107399495520769,0.01017436624377316,0.008571229241567764,0.007494907386063078,0.0074792502926290284,0.010849713154735235
203,0.6033744557356654,0.5843947159859143,0.650077814501003,0.7432792201594809,0.7562799299695767,0.7970568874252733,0.8066850186232735,0.8519297346933246,0.9229349388746222,0.9943152834541817,0.9633667243568944,0.946031361074276,1.0127077131985516,0.987402104499455,1.0196589971650671,1.0366329381956643,0.968144803367516,1.0788576398000547,1.0664471846482333
