countries,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
100,0.08933768746835107,0.09188941517831992,0.09853434502493943,0.11156743496980336,0.12462607041499844,0.13467806105342672,0.14205208671536124,0.1537878502285545,0.16735935177663333,0.1709583036011975,0.16276945447927715,0.16769712752931046,0.18232017435041029,0.16638613048492906,0.17865922306495155,0.18295557714682867,0.18128926047445937,0.19679459960520965,0.21237069688120472
108,0.0001792398874174355,0.0001862895647966663,0.0002102333746421916,0.00013447663080554096,0.00021225752078457628,0.00034634163716239187,0.0003560742987751716,0.002018525101920756,0.000873835252058472,0.00046322892752770036,0.000462297163001637,0.0004532103901004123,0.0007137101209967968,0.0007508286608241044,0.0005560826842029385,0.0006795996775254078,0.000701723372026462,0.0007507081719598804,0.0005395297000088843
112,0.11764896497183155,0.12671607596818726,0.13647641531520338,0.13083658234880766,0.13618548043006767,0.14532404571102628,0.1364697829020932,0.14115826416598054,0.14941979365489216,0.1600133053914879,0.14598250481835762,0.1619881187649872,0.18907637464921645,0.22150661539006564,0.18709858372452853,0.16819984080908526,0.14968521140426402,0.15853544786012502,0.17624543270926019
12,0.02105446597604776,0.024187374454902294,0.02354548214475059,0.021993796420566036,0.021166193861037595,0.023508714486050426,0.023904819773969622,0.024969430289160165,0.02183773471117974,0.023456978636979344,0.019734691522479482,0.01876770802516026,0.017998210348444125,0.01696008591248823,0.014640823814724833,0.01798591218760876,0.017218239158608747,0.01689206519157091,0.016816199771445193
124,3.8394133506622166,3.760476605051856,3.5920674844743896,3.4521093001623813,3.124511077720702,3.130113231457359,3.044000876415059,2.898530234640277,2.809677800192388,2.61995584769174,2.3540701248070737,2.349482602368021,2.2164944745652058,2.1545423788074998,2.0667923650056568,2.047837645957353,2.120964398250688,2.119564572732752,2.0358455881722644
140,0.0006876119101671637,0.00033588171643383837,0.0002908020944329979,0.0002547515277646418,0.0001456442439726455,0.0002552063529198865,0.0002553094520944793,0.0001905848972321038,0.0002663979987622951,0.00022568634475248696,0.00022197277018988238,0.00021117119012728456,0.00016767139853456262,0.00024536877282449346,8.143250896508818e-05,4.459555568620155e-05,0.0002604237654012141,0.0002141376571898796,0.0007012253846467258
144,0.08440461130811282,0.09313770382116546,0.08576003556888516,0.08031510997736968,0.07036596044452938,0.070152150283128,0.07055684863147696,0.07765022650622626,0.07433422887598835,0.07896886621501624,0.09317927719758132,0.09296538442563408,0.09594377767203674,0.0934808384333001,0.09713409480601783,0.10463470993817453,0.10763452089133305,0.12008286417416472,0.12775663364535778
152,0.32641450484261336,0.32430747028435086,0.35342209786252154,0.3183254343748607,0.35318371720720065,0.39260139936111055,0.4160720782032899,0.434418542395838,0.44101184334252214,0.40400334469151644,0.44774351799817463,0.4024325870767166,0.38481373889741777,0.39281734527182877,0.4010621014755516,0.3990958289380551,0.3905158205114986,0.3924658981574003,0.37707776784293084
156,8.377639168358847,9.692909203950448,10.375810795931972,11.176556028951666,12.187055986087865,12.958133816502059,14.945858823930376,16.109464765242894,16.63228779518512,17.9733861292704,19.0973702858294,20.860835687788363,22.562088640820946,23.57877694334118,23.579777462415464,24.745885195760867,26.229954507973602,24.475347540571722,24.572717424017704
170,0.148161347484559,0.1552776117203553,0.16510966337810257,0.144089327808765,0.13104936885377377,0.1493713316255276,0.16288046669122325,0.1781671240563435,0.2039154157852213,0.21371879393141782,0.1919209833932127,0.15351070514886297,0.15170815416949593,0.15806440829220664,0.1544221013644807,0.14479903550965925,0.1407076195534044,0.13556009163742763,0.13142417114395857
188,0.062018811901137665,0.059724564546560416,0.06068043799679642,0.0593615188785587,0.058449964137113605,0.059106700355388724,0.060325918773034407,0.05110007591395901,0.05410769302165429,0.05520272422725449,0.04987095903964945,0.05075186044055748,0.049586003548764135,0.057214916664819856,0.05394201897270105,0.053384102657987195,0.05786749363719771,0.06063025609070335,0.06297434338369384
191,0.07996163849543886,0.0713938537848835,0.08145308558912677,0.07970784093933386,0.08586939985524637,0.08980411109484542,0.0829427322397564,0.09290367079815855,0.10558638137516216,0.1090074188834382,0.09765085784549736,0.09353027474064636,0.09757096500391614,0.0897974025529523,0.08892837480521723,0.09335490475673747,0.09577021087988043,0.11393563519320508,0.10824540863420813
196,0.014761648201693992,0.01445088685919417,0.014803833932196971,0.013245136203255813,0.012198035065905194,0.010858795030013302,0.010179321043218186,0.008186189590673786,0.010573687396080332,0.010659974713928462,0.009936302113720407,0.009461704039377404,0.009623864068624916,0.008970134419054632,0.010744345247993664,0.008940903914945836,0.008746928056667491,0.008164627541041221,0.014987573546931622
20,0.0010574107107377993,0.0012430007261712318,0.0012501477454557029,0.0010701679791622674,0.0013558297511671294,0.00138048428883758,0.0018138215458061054,0.001966382519592844,0.0012213189363510263,0.0015152021643724378,0.0014445398863212476,0.0012256842042460106,0.0010759604951261245,0.0009203127729120186,0.000861117547428299,0.0007511959618865454,0.0008518979304680404,0.0006896682475951885,0.0008349985882222705
203,0.6238165766999351,0.5834491228614443,0.6327722301977678,0.7095216418498987,0.7216119567322649,0.745033339873206,0.7966039206530718,0.8318351876248753,0.8752175024763741,0.9416320996311806,0.920724084111562,0.9059196495151962,0.8903461895375816,0.8781433341508802,0.9187014823689971,0.9694208260893761,0.9112405319802186,0.9962150476946149,1.0044452317598442
204,0.0015680757605992636,0.0014056964612309678,0.0017208899672317693,0.002502928453696795,0.002004202948128731,0.002268738339891917,0.0020978671265741316,0.001812340303120174,0.002065793092675461,0.0025541468972858695,0.0038431369678741437,0.003133971232856136,0.0019942202544110353,0.0026438285131236933,0.002776927198801278,0.004503219615744478,0.0042069744794165295,0.0032648321887623626,0.0045111491517854175
208,0.9745119042788702,0.8835550535396248,0.9153658175816588,0.9910710214511702,1.040253210283009,1.0094124066517387,1.0122085396889016,1.031222170527857,0.9804078933785932,0.9661686006160616,0.9508492199426148,0.9227049184415274,0.8967508210563228,0.8331332921664263,0.8679722584862134,0.8336481033234067,0.8307984960628251,0.8232057602735476,0.8435966077777423
218,0.042897431005374916,0.03560984881655433,0.0444250107753317,0.04665962582402559,0.04449253508995028,0.04447552634049432,0.04483328167047551,0.05024315425395375,0.04745292921251674,0.05966357103954214,0.07293304716108513,0.07133059933355153,0.06949131840979486,0.06886387236662851,0.07049683544744108,0.07182439712947164,0.07382946887145309,0.07363380527957264,0.07330113694542119
222,0.024947181247463392,0.038117028274192354,0.03107052092901782,0.03377425545168481,0.02939615257050042,0.03139115023433504,0.03056546734327132,0.034147132344868165,0.031688959532312176,0.033624049052190075,0.03512238418276426,0.03773209050106851,0.03750483865752791,0.036941783659479054,0.03901287065395495,0.03713297752301734,0.04341958641522916,0.0455270599325219,0.04521629523175489
233,0.05052482228632545,0.053948962750157876,0.06624334972944491,0.07262867081516283,0.07997058630700318,0.07607173433861533,0.08313952056999302,0.08314230868050855,0.09000668164570776,0.09217004098541363,0.0823595724712014,0.08769285736802032,0.09208572815743152,0.1037500054299388,0.13156680862467415,0.09328482713771533,0.07772605842392838,0.08017028902902283,0.08293431563589998
246,0.6567960071884097,0.620171681693328,0.6619025668908698,0.651216550222797,0.6740465197259055,0.6536891390691917,0.5797645899343215,0.6370363067177734,0.6339125852543589,0.6059704790478664,0.5284831467386187,0.5312123031797138,0.5092352348539848,0.4777357378876037,0.4819900567050264,0.45740957222486106,0.43664910684081576,0.43804439186314836,0.4813716264607637
251,5.690732051975757,5.340749219347055,5.300183218630023,5.3581744444161545,5.553221265891792,5.246940104473279,4.924832708360692,4.819987014287142,4.8158123913269355,4.703048137236993,4.562708054005639,4.302319282097139,4.179933915560658,3.8860090572946575,3.933338415628457,3.8008032746172526,3.551676053197104,3.713367279459782,3.661562946251875
268,0.0038894433500127126,0.003809197468383998,0.0037073013136677234,0.0040305986889482,0.0043470842699886904,0.005185194306929822,0.0055741562947239625,0.005964257542820829,0.006905580686880171,0.007023042359176914,0.008192543951989916,0.008831489450496497,0.009022893564610083,0.010295255550632779,0.01198433139475873,0.01135740258596118,0.009872233474520957,0.009700240505729546,0.010559927478738186
