id,name,export_overlap,export_part,import_overlap,import_part
40,Austria,109104210292,0.8375344635517928,133130574544,0.8532817438725975
100,Bulgaria,19792051058,0.9009481740388399,21321354367,0.8984049901982147
191,Croatia,10197623286,0.9093134418415024,18120515253,0.9090290779316619
196,Cyprus,1112315392,0.8425708809632582,6337857023,0.8921543861224832
203,Czechia,152793536278,0.6833164867066694,117627271766,0.8086020393692677
208,Denmark,55331994990,0.8892748635479625,65909733667,0.8642060955725887
233,Estonia,10389286012,0.8609852394687222,13607504167,0.8569177069719585
246,Finland,39268270413,0.84323721299137,47632250813,0.8505888021384825
251,France,308812275093,0.86565530324879,430284108414,0.8567597191194636
276,Germany,836336482825,0.8048377448350914,717758806294,0.8476621384921433
300,Greece,17036750041,0.9419109615753439,28306055862,0.9165041698076052
348,Hungary,90271117851,0.7170643073576641,76849761011,0.7846031018869565
372,Ireland,67842213202,0.7216995401671562,52611381739,0.899570312495897
381,Italy,279029534044,0.8696601220389837,265658741304,0.8811515406853272
428,Latvia,9175235689,0.8634832518188147,12570784155,0.8983300415315169
440,Lithuania,16859194438,0.9323850462398018,18514563507,0.8870149193290031
442,Luxembourg,11178431361,0.8092623944734771,19676482036,0.8895222690758138
470,Malta,1257804000,0.8486206033839426,5828671175,0.8426935679585401
528,Netherlands,356305257156,0.9181378568807008,267967821226,0.9222085094844223
616,Poland,174940817578,0.8512142832390889,172265570330,0.8554246116947771
620,Portugal,45511246968,0.8818299878328051,55363790594,0.8840369626546344
642,Romania,53634271775,0.7672870991453266,61607719767,0.8358899660828627
703,Slovakia,72105805554,0.6796488053655104,57415850014,0.8123093028346995
705,Slovenia,24454318803,0.8242715459476772,24379681326,0.8786949458695774
724,Spain,202607289840,0.8743350751070064,205149600493,0.8539014684518532
752,Sweden,88233112763,0.8757623965734217,106892209019,0.8310066752589077
826,United Kingdom,209651533574,0.8859488196716717,342628895192,0.8403476020929267
56,Belgium,309751807486,0.9220037971369405,227566232704,0.9102909164167392
