EUR,B-S_X_O,D12_D4_MD5,IE	: 	3.3 d	4.1 	4.1 	4.8 	4.9 	4.9 
EUR,B-S_X_O,D12_D4_MD5,IS	: 	3.7 d	4.0 d	4.8 d	7.3 d	8.3 p	8.7 p
EUR,B-S_X_O,D12_D4_MD5,IT	: 	6.7 d	7 	7.8 	7.7 	7.8 	8 
EUR,B-S_X_O,D12_D4_MD5,LT	0.7 d	0.9 d	1.6 	1.6 	2.1 	2.4 	2.6 
EUR,B-S_X_O,D12_D4_MD5,LU	: 	4.7 d	4.5 	4.9 	4.9 	4.5 	4.5 
EUR,B-S_X_O,D12_D4_MD5,LV	: 	0.6 d	1.2 	1.2 	1.6 	1.7 	2 
EUR,B-S_X_O,D12_D4_MD5,MT	: 	0.6 d	0.9 	0.8 	0.9 	0.9 	0.9 
EUR,B-S_X_O,D12_D4_MD5,NL	5.1 d	6.5 d	6.9 	7.7 	8.1 	8.3 	8.6 
EUR,B-S_X_O,D12_D4_MD5,NO	: 	: 	: 	10.2 	9.3 	9.4 	9.4 
EUR,B-S_X_O,D12_D4_MD5,PL	: 	0.9 d	1.4 	1.4 	1.6 	1.7 	1.9 
EUR,B-S_X_O,D12_D4_MD5,PT	: 	2.2 d	2.3 	2.6 	2.8 	2.8 	2.9 
EUR,B-S_X_O,D12_D4_MD5,RO	: 	0.5 d	1 	0.9 	1 	1.2 	: 
EUR,B-S_X_O,D12_D4_MD5,SE	: 	9.7 d	10.4 	11.8 	12 	12.3 	11.8 
EUR,B-S_X_O,D12_D4_MD5,SI	1.7 d	2.2 d	2.3 	2.5 	2.6 	2.9 	2.9 
EUR,B-S_X_O,D12_D4_MD5,SK	0.7 d	1.1 d	1.8 	2.3 	2.7 	2.9 	3.1 
EUR,B-S_X_O,D12_D4_MD5,UK	4.0 d	3.8 	3.6 d	4.1 	4.8 	4.7 	4.9 
EUR,B-S_X_O,D1_D4_MD5,AT	: 	25.2 	26.4 	29.7 	32.5 	33.0 p	34.0 p
EUR,B-S_X_O,D1_D4_MD5,BE	: 	29.2 	32.9 	38 	38.6 	39.1 	39.7 
EUR,B-S_X_O,D1_D4_MD5,BG	1.3 d	1.6 d	2.6 	3.4 	4.5 	5 	5.4 
EUR,B-S_X_O,D1_D4_MD5,CY	10.8 	12.5 	16.7 	16.8 	15.7 	15.9 	16.3 
EUR,B-S_X_O,D1_D4_MD5,CZ	3.7 	5.8 	9.2 	10 	10.3 	11.3 	12.6 
EUR,B-S_X_O,D1_D4_MD5,DE	: 	26.8 	27.9 	30.5 	32.8 	33.8 	34.6 
EUR,B-S_X_O,D1_D4_MD5,DK	: 	29.6 	34.6 	39.4 	41.3 	42.8 	43.5 
EUR,B-S_X_O,D1_D4_MD5,EA	17.4 d	: 	: 	: 	: 	: 	: 
EUR,B-S_X_O,D1_D4_MD5,EA19	: 	23.0 d	25.1 	28.3 	29.4 	30 	30.6 
EUR,B-S_X_O,D1_D4_MD5,EE	2.9 d	4.3 d	7.9 	8.6 	10.8 	11.6 	12.4 
EUR,B-S_X_O,D1_D4_MD5,EL	11.6 	15.3 	16.8 	15.7 	15.2 	15.6 	16.1 
EUR,B-S_X_O,D1_D4_MD5,ES	14.3 	16.5 	19.4 	21.1 	21.2 	21.2 	21.4 
EUR,B-S_X_O,D1_D4_MD5,EU28	: 	19.8 	21.9 	24.5 	26 	26.7 	27.4 
EUR,B-S_X_O,D1_D4_MD5,FI	22.1 	24.4 	27.1 	31.3 	33.7 	33.2 	33.6 
EUR,B-S_X_O,D1_D4_MD5,FR	: 	28.2 	31.2 	34.3 	34.5 	34.9 	35.8 
EUR,B-S_X_O,D1_D4_MD5,HR	: 	6.9 d	9.2 	9.5 	9.5 	10.1 	10.9 
EUR,B-S_X_O,D1_D4_MD5,HU	3.6 	5.9 	7.8 	7.4 	7.8 	8.7 	9.2 
EUR,B-S_X_O,D1_D4_MD5,IE	: 	25.3 d	28.9 	29.8 	30.6 	31.2 	32.1 
EUR,B-S_X_O,D1_D4_MD5,IS	: 	23.9 	21.9 	23.2 	36.2 	42.5 p	42.5 p
EUR,B-S_X_O,D1_D4_MD5,IT	: 	22.4 	25.2 	27.7 	27.6 	27.7 	28.2 
EUR,B-S_X_O,D1_D4_MD5,LT	2.6 d	3.2 	5.9 	5.9 	7.4 	8.1 	9 
EUR,B-S_X_O,D1_D4_MD5,LU	: 	30.3 	32.3 	35.3 	38.7 	39.9 	40.6 
EUR,B-S_X_O,D1_D4_MD5,LV	: 	2.7 	5.9 	6 	7.7 	8.2 	9.3 
