id,name,year,cluster,fitness,gdp,gdp_aggr,labour_costs,wages,employment,education,complexity,ag1,name_ag1
46,"Manufactures of plaiting material, basketwork, etc.",2011,,,,,,,,,1.3891913144392103,8.0,Miscellaneous manufactured articles
47,"Pulp of wood, fibrous cellulosic material, waste etc",2011,,,,,,,,,1.0599246632816757,2.0,"Crude materials, inedible, except fuels"
48,"Paper & paperboard, articles of pulp, paper and board",2011,,,,,,,,,0.8586084860969974,6.0,Manufactured goods
49,"Printed books, newspapers, pictures etc",2011,,,,,,,,,0.3921962867665267,8.0,Miscellaneous manufactured articles
50,Silk,2011,,,,,,,,,2.92385359893456,6.0,Manufactured goods
51,"Wool, animal hair, horsehair yarn and fabric thereof",2011,,,,,,,,,0.8946556683942855,6.0,Manufactured goods
52,Cotton,2011,,,,,,,,,0.3710273254458677,6.0,Manufactured goods
53,"Vegetable textile fibres nes, paper yarn, woven fabric",2011,,,,,,,,,0.6535211362312534,6.0,Manufactured goods
54,Manmade filaments,2011,,,,,,,,,0.7272590519060474,6.0,Manufactured goods
55,Manmade staple fibres,2011,,,,,,,,,1.6144957284837826,6.0,Manufactured goods
56,"Wadding, felt, nonwovens, yarns, twine, cordage, etc",2011,,,,,,,,,1.0019392681850685,6.0,Manufactured goods
57,Carpets and other textile floor coverings,2011,,,,,,,,,1.4779217095127286,6.0,Manufactured goods
58,"Special woven or tufted fabric, lace, tapestry etc",2011,,,,,,,,,1.3772832297776918,6.0,Manufactured goods
59,"Impregnated, coated or laminated textile fabric",2011,,,,,,,,,1.556425558352584,6.0,Manufactured goods
60,Knitted or crocheted fabric,2011,,,,,,,,,1.2617108845929874,6.0,Manufactured goods
61,"Articles of apparel, accessories, knit or crochet",2011,,,,,,,,,0.6745188436656352,8.0,Miscellaneous manufactured articles
62,"Articles of apparel, accessories, not knit or crochet",2011,,,,,,,,,0.7561279157530599,8.0,Miscellaneous manufactured articles
